player_id,player_name,position,has_beard,has_mustache,is_redhead
00-0036307,00-0036307,Unknown,True,True,False
00-0036314,00-0036314,Unknown,True,True,False
00-0036315,00-0036315,Unknown,True,True,False
00-0036321,00-0036321,Unknown,True,True,False
00-0036323,00-0036323,Unknown,True,True,False
00-0036329,00-0036329,Unknown,False,False,False
00-0036333,00-0036333,Unknown,True,True,False
00-0036335,00-0036335,Unknown,True,True,False
00-0036337,00-0036337,Unknown,True,True,True
00-0036338,00-0036338,Unknown,True,True,False
00-0036343,00-0036343,Unknown,True,True,False
00-0036348,00-0036348,Unknown,True,True,False
00-0036349,00-0036349,Unknown,True,True,False
00-0036351,00-0036351,Unknown,True,True,False
00-0036356,00-0036356,Unknown,True,True,False
00-0036362,00-0036362,Unknown,True,False,False
00-0036366,00-0036366,Unknown,True,True,False
00-0036371,00-0036371,Unknown,True,True,False
00-0036374,00-0036374,Unknown,True,True,False
00-0036375,00-0036375,Unknown,True,True,False
00-0036378,00-0036378,Unknown,True,True,False
00-0036380,00-0036380,Unknown,True,True,False
00-0036388,00-0036388,Unknown,True,True,False
00-0036394,00-0036394,Unknown,True,True,False
00-0036395,00-0036395,Unknown,False,False,False
00-0036400,00-0036400,Unknown,True,True,False
00-0036402,00-0036402,Unknown,True,True,True
00-0036409,00-0036409,Unknown,True,True,False
00-0036411,00-0036411,Unknown,True,True,False
00-0036413,00-0036413,Unknown,True,True,False
00-0036416,00-0036416,Unknown,True,True,False
00-0036418,00-0036418,Unknown,True,True,False
00-0036421,00-0036421,Unknown,True,True,False
00-0036428,00-0036428,Unknown,True,True,False
00-0036430,00-0036430,Unknown,False,True,False
00-0036431,00-0036431,Unknown,True,True,False
00-0036479,00-0036479,Unknown,True,True,False
00-0036480,00-0036480,Unknown,True,True,False
00-0036500,00-0036500,Unknown,True,True,False
00-0036501,00-0036501,Unknown,True,True,False
00-0036502,00-0036502,Unknown,True,True,False
00-0036504,00-0036504,Unknown,False,True,False
00-0036507,00-0036507,Unknown,True,True,False
00-0036511,00-0036511,Unknown,True,True,False
00-0036552,00-0036552,Unknown,True,True,False
